#,Country,Continent,Co2_Emiss_Tons,Population,LifeExpectancy
1,China,Asia,10432751400,1414049351,76.21
2,United States,North America,5011686600,323015995,78.885
3,India,Asia,2533638100,1324517249,68.897
4,Russia,Europe,1661899300,145275383,71.835
5,Japan,Asia,1239592060,127763265,84.09
6,Germany,Europe,775752190,82193768,80.902
7,Canada,North America,675918610,36382944,82.117
8,Iran,Asia,642560030,79563989,76.047
9,South Korea,Asia,604043830,50983457,82.379
10,Indonesia,Asia,530035650,261556381,71.035
11,Saudi Arabia,Asia,517079407,32443447,74.761
12,Brazil,South America,462994920,206163053,75.23
13,Mexico,North America,441412750,123333376,74.917
14,Australia,Oceania,414988700,24262712,82.959
15,South Africa,Africa,390557850,56207646,63.153
16,Turkey,Asia,368122740,79827871,76.86
17,United Kingdom,Europe,367860350,66297944,81.111
18,Italy,Europe,358139550,60663060,83.008
19,France,Europe,331533320,64667596,82.328
20,Poland,Europe,296659670,37989220,78.11
21,Taiwan,Asia,276724868,23618200,79.927
22,Thailand,Asia,271040160,68971308,76.403
23,Malaysia,Asia,266251542,30684654,75.649
24,Spain,Europe,251892320,46634140,83.145
25,Ukraine,Europe,233220080,44713702,71.711
26,Kazakhstan,Asia,231919540,17830901,72.081
27,Egypt,Africa,219377350,94447073,71.482
28,United Arab Emirates,Asia,218788684,9360980,77.47
29,Vietnam,Asia,206042140,93640422,75.172
30,Argentina,South America,200708270,43508460,76.221
31,Pakistan,Asia,178013820,203631353,66.77
32,Venezuela,South America,175884256,29851255,72.405
33,Netherlands,Europe,163419285,16981295,81.862
34,Iraq,Asia,162646160,36610632,70.122
35,Algeria,Africa,156220560,40551392,76.298
36,Philippines,Asia,126922662,103663816,70.802
37,Czech Republic (Czechia),Europe,111825428,10618857,78.881
38,Uzbekistan,Asia,109347340,31441751,71.171
39,Kuwait,Asia,101492225,3956875,75.224
40,Qatar,Asia,98990085,2654374,79.868
41,Belgium,Europe,94722813,11354420,81.139
42,Oman,Asia,87835773,4479219,77.142
43,Nigeria,Africa,82634214,185960241,53.541
44,Chile,South America,81258525,18209068,79.779
45,Turkmenistan,Asia,79279216,5662368,67.835
46,Romania,Europe,78770824,19796285,75.644
47,Colombia,South America,77667594,48175052,76.732
48,Bangladesh,Asia,74476230,157977153,71.785
49,Austria,Europe,73764112,8747301,81.258
50,Greece,Europe,67840662,10615185,81.727
51,Israel,Asia,65201588,8108985,82.503
52,Belarus,Europe,62655669,9445643,74.031
53,North Korea,Asia,58708734,25307665,71.711
54,Morocco,Africa,57694464,35126283,75.974
55,Peru,South America,57692879,30926032,76.044
56,Libya,Africa,52696075,6492162,72.311
57,Finland,Europe,51183960,5497713,81.382
58,Hungary,Europe,51018899,9752975,76.266
59,Bulgaria,Europe,50872910,7151953,74.703
60,Portugal,Europe,50142844,10325538,81.444
61,Singapore,Asia,48381759,5653634,83.083
62,Hong Kong,Asia,47066386,7243542,84.277
