Year,Co2Emiss_Tons,Population
2016,35753305000,7464022049
2015,35631078000,7379797139
2014,35686780000,7295290765
2013,35416599000,7210581976
2012,34790564000,7125828059
2011,34578390000,7041194301
2010,33587787000,6956823603
2009,31770516000,6872767093
2008,32124428000,6789088686
2007,31916504000,6705946610
2006,30756174000,6623517833
2005,29769008000,6541907027
2004,28729309000,6461159389
2003,27513926000,6381185114
2002,26350081000,6301773188
2001,25877903000,6222626606
2000,25593733000,6143493823
1999,24733708000,6064239055
1998,24541647000,5984793942
1997,24398282000,5905045788
